 Cloud Cover High [high cld lay], Direct Shortwave Radiation, FAO Reference Evapotranspiration [2 m], Relative Humidity [2 m], Relative Humidity [2 m]_1, Relative Humidity [2 m]_2, Soil Moisture [28-100 cm down], Soil Moisture [28-100 cm down]_10, Soil Moisture [28-100 cm down]_9, Soil Moisture [7-28 cm down], Soil Moisture [7-28 cm down]_7, Soil Moisture [7-28 cm down]_8, Soil Temperature [100-255 cm down], Soil Temperature [100-255 cm down]_3, Soil Temperature [100-255 cm down]_4, Temperature, Temperature [2 m elevation corrected], Temperature [2 m elevation corrected]_1, Temperature [2 m elevation corrected]_2, Temperature_5, Temperature_6, Vapor Pressure Deficit [2 m], Vapor Pressure Deficit [2 m]_1, Vapor Pressure Deficit [2 m]_2,Incendio
33.541668,4929,4.0308337,49.16087,5.4167566,29.658278,0.213,0.21237499,0.212,0.177,0.175,0.1764167,15.92,15.91,15.915833,36.82,26.499105,7.0891056,16.296188,0.66,14.660001,28.425112,4.656318,13.371373,0
0,5149,4.054996,45.987938,6.99785,25.19616,0.215,0.21316667,0.208,0.178,0.175,0.17575003,15.91,15.89,15.901249,37.75,26.289104,5.7191052,15.274106,-3.78,12.776668,27.065344,4.297303,13.511978,0
36.583332,4949,3.7734067,55.92455,10.029426,30.79963,0.212,0.20833331,0.208,0.182,0.178,0.17833333,15.89,15.88,15.886252,37.7,25.729105,6.7191057,15.778687,-1.1,14.350418,25.451412,3.7844095,12.709202,0
80.458336,2829,2.7449596,79.10658,19.94348,54.402004,0.212,0.21141665,0.211,0.182,0.18,0.18083335,15.88,15.86,15.872081,28.9,21.119104,8.399105,13.900356,4.3,12.692916,14.505541,1.9860168,7.0898585,0
6.625,4669,3.7235098,96.39014,19.421078,61.52718,0.211,0.21099998,0.211,0.18,0.177,0.17975004,15.87,15.85,15.857502,35.48,24.239105,7.069105,14.315354,2.44,14.670833,21.240482,0.3226576,7.6589394,1
12.041667,4657,3.639126,91.232544,22.165506,55.55638,0.211,0.21008332,0.206,0.177,0.172,0.17608339,15.85,15.84,15.844582,33.67,22.619104,7.1791058,14.239521,2.12,14.395,18.69042,0.76589394,7.7573047,0
7.7916665,4708,3.817212,81.290504,21.799397,54.072033,0.207,0.20608334,0.206,0.172,0.172,0.17199999,15.84,15.82,15.829583,34.75,24.089106,6.6191053,14.439939,0.78,14.037502,20.549448,1.703886,8.29414,0
16.833334,3163,2.9942005,85.19587,36.83845,63.823566,0.207,0.20633334,0.205,0.172,0.172,0.17199999,15.82,15.81,15.815834,30.85,21.199104,8.199105,13.913272,2.25,13.041668,13.774086,1.4004297,5.906365,0
17.625,1715,2.058517,91.21155,52.96539,72.70316,0.205,0.20441668,0.204,0.172,0.171,0.17150001,15.81,15.8,15.803746,27.35,18.769106,10.139105,13.35452,7.25,12.979169,8.876611,0.94098186,3.9671295,0
0.75,3549,3.0943518,86.270996,35.5465,66.7652,0.205,0.20441663,0.203,0.173,0.172,0.17262505,15.8,15.78,15.791249,31.21,21.129105,7.359105,12.587438,6,14.419167,13.901583,1.2287674,5.1863794,0
25.458334,5065,4.0697126,80.229355,7.734,47.803883,0.203,0.20300002,0.203,0.174,0.171,0.17333333,15.78,15.77,15.776664,33.48,25.039104,5.3491054,14.292023,-1.31,13.163334,25.40008,1.5670547,9.989465,0
50.666668,5038,4.279624,50.73185,13.368194,31.457283,0.203,0.20300002,0.203,0.172,0.171,0.1717083,15.77,15.76,15.764586,35.27,25.409105,6.519105,15.262021,-1.13,13.369584,24.29504,4.110246,11.963642,0
66.166664,4510,4.1519685,60.39746,12.287444,37.779366,0.206,0.20325,0.203,0.175,0.171,0.17179167,15.76,15.74,15.747914,37.29,26.539104,7.6191053,15.788686,-0.1,14.244166,26.72602,3.950035,11.880027,0
25.708334,5092,4.2461195,67.0392,18.658154,44.251007,0.209,0.20625003,0.206,0.177,0.175,0.17516662,15.74,15.72,15.732918,36.9,26.209105,8.119105,16.175772,1.1,15.112499,24.299473,3.4273462,10.776547,0
0.041666668,5120,4.170816,86.12502,14.798385,48.8314,0.209,0.20875007,0.208,0.177,0.177,0.17700003,15.72,15.71,15.716664,37.36,26.109104,5.4291053,15.193269,0.06,14.733335,25.300173,1.0722113,10.143308,1
